Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
National Advisors Trust Company  FSB,10901 Lowell Street  Suite 120,LENEXA,KS,66210,38.930301,-94.676977,
National Advisors Trust Company  FSB,10881 Lowell Street  Suite 100,LENEXA,KS,66210,38.930507,-94.676976,http://www.nationaladvisorstrust.com
First Community Industrial Bank,6924 North Academy Boulevard,COLORADO SPRINGS,CO,80918,38.931396,-104.795291,
NVR Savings Bank  FSB,Dolley Madison Boulevard,MC LEAN,VA,22101,38.93262482,-77.17063141,
United National Bank - Central,101 East Main Street,BALDWIN,WV,26351,38.933575,-80.837089,
Kanawha Union Bank,101 East Main Street,BALDWIN,WV,26351,38.933575,-80.837089,
Kaw Valley State Bank,737-39 Main Street,EUDORA,KS,66025,38.934035,-95.098956,http://www.kawvalleystatebank.com
Riggs National Bank of Maryland,6805 Old Dominion Drive,MC LEAN,VA,22101,38.934193,-77.177851,
Riggs Bank National Association,6805 Old Dominion Drive,MC LEAN,VA,22101,38.934197,-77.178168,
1st Service Bank,6830 Old Dominion Drive,MC LEAN,VA,22101,38.934734,-77.179927,http://www.1sb.com
Madison National Bank of Virginia,6832 Old Dominion Drive,MC LEAN,VA,22101,38.934828,-77.180204,
Dominion Bank of Northern Virginia  National Assoc,1650 Tyson Boulevard,WEST MCLEAN,VA,22102,38.93631744,-77.22193146,
Capital One  F.S.B.,1680 Capital One Drive,WEST MCLEAN,VA,22102,38.93631744,-77.22193146,http://www.capitalone.com
Ellis State Bank,916 Washington Street,ELLIS,KS,67637,38.938136,-99.560259,http://www.ellisstatebank.com
Cardinal Bank-Potomac,1313 Dolley Madison Boulevard,MC LEAN,VA,22101,38.93874,-77.181338,
Golden Belt Bank  FSA,901 Washington St,ELLIS,KS,67637,38.938865,-99.560251,http://www.goldenbeltbank.com
BankFirst  National Association,1301 Beverly Road,MC LEAN,VA,22101,38.939425,-77.177666,
Academy Bank  National Association,2835 Briargate Boulevard,COLORADO SPRINGS,CO,80920,38.941758,-104.772966,http://www.academybankco.com
First State Bank of Adams County,19230 State Route 136,WINCHESTER,OH,45697,38.941871,-83.651133,
The First State Bank of Adams County,19230 State Route 136,WINCHESTER,OH,45697,38.941871,-83.651133,http://www.fsbadamscounty.com
MC Lean Savings and Loan Association,Dolley Madison Boulevard,MC LEAN,VA,22101,38.94221,-77.16176,
Mclean Federal Savings and Loan Association,Dolley Madison Boulevard,MC LEAN,VA,22101,38.94221,-77.16176,
Lawrence Bank,3500 Clinton Parkway,LAWRENCE,KS,66047,38.94272,-95.281383,
The Lawrence Bank,3500 Clinton Parkway,LAWRENCE,KS,66047,38.94272,-95.281383,http://www.lawrencebank.com
Citizens Bank Company,Main Street,HAMERSVILLE,OH,45130,38.94361,-84.02784,
Capital City Federal Savings and Loan Association,4301 Connecticut Ave N W,WASHINGTON,DC,20008,38.944312,-77.063594,
Vista Federal Savings Association,11515 Sunrise Valley Drive,RESTON,VA,22091,38.945147,-77.345314,
Vista Federal Savings Bank,11515 Sunrise Valley Drive,RESTON,VA,22091,38.945147,-77.345314,
Sierra Savings and Loan Association,1516 Highway 395  Suite C,GARDNERVILLE,NV,89410,38.945245,-119.754421,
Central Bank Chapel Hills  National Association,1520 Briargate Boulevard,COLORADO SPRINGS,CO,80918,38.94536,-104.800128,
Community Bank of Maryland,16410 Heritage Boulevard,MITCHELLVILLE,MD,20716,38.945669,-76.720047,
Jackson County Bank  Inc.,Main Street,RAVENSWOOD,WV,26164,38.94675064,-81.75238037,
Prince George's National Bank,8401 Corporate Drive,LANDOVER,MD,20785,38.947028,-76.861997,
Washington Savings Bank  FSB,4201 Mitchellville Road  Suite 300,MITCHELLVILLE,MD,20716,38.947553,-76.721378,
The Washington Savings Bank  FSB,4201 Mitchellville Road  Suite 300,MITCHELLVILLE,MD,20716,38.947553,-76.721378,http://www.twsb.com
Universal Bank,7919 North George Palmer Highway,LANHAM,MD,20706,38.948325,-76.877725,
First Federal Savings & Loan Association of Ravenswood,234 Washington Street,RAVENSWOOD,WV,26164,38.948734,-81.761423,http://www.ffslrwvadventures.net
First FS & LA of Ravenswood,234 Washington Street,RAVENSWOOD,WV,26164,38.948734,-81.761423,
Peoples Security Bank of Maryland,4351 Garden City Drive,LANDOVER,MD,20785,38.949707,-76.867261,
The New Richmond National Bank,110 Front Street,NEW RICHMOND,OH,45157,38.95004,-84.283101,http://www.nrnb.com
New Richmond National Bank,110 Front Street,NEW RICHMOND,OH,45157,38.95004,-84.283101,
BANKSTAR  National Association,12355 Sunrise Valley Drive,RESTON,VA,22091,38.95021,-77.373178,
Godfrey State Bank,5759 Godfrey Road,GODFREY,IL,62035,38.950249,-90.190812,
Boatmen's Bank of Mid-Missouri,8th And Cherry Streets,COLUMBIA,MO,65201,38.95049,-92.32863,
Farmers Federal Savings and Loan Association,1 Wall Street,RAVENSWOOD,WV,26164,38.950535,-81.762301,
First Counties Bank,15145 Lakeshore Drive,CLEARLAKE,CA,95422,38.950632,-122.625031,
First National Bank and Trust Company,801 East Broadway,COLUMBIA,MO,65201,38.95153,-92.32859,http://www.fnb-columbia.com
Boone National Savings and Loan Association  F.A.,901 East Broadway,COLUMBIA,MO,65201,38.951557,-92.327463,http://www.boonenational.com
The Boone County National Bank of Columbia,720 East Broadway Street,COLUMBIA,MO,65201,38.951563,-92.329409,http://www.boonebank.com
Boone County National Bank of Columbia,720 East Broadway Street,COLUMBIA,MO,65201,38.951563,-92.329409,
Rising Sun State Bank,Main Street,RISING SUN,IN,47040,38.95304,-84.86095,
Central Missouri State Bank,Missouri Route B  And Boone Villa Drive,BOONVILLE,MO,65233,38.95363998,-92.74497223,
Citizens First Bank  Inc.,601 Washington Street,RAVENSWOOD,WV,26164,38.953812,-81.765369,http://www.cfbwv.com
Patriot National Bank,12120 Sunset Hills Road,LAKE ANNE,VA,22090,38.95404,-77.364454,
Washington Federal Savings Bank,570 Herndon Parkway,HERNDON,VA,22070,38.954798,-77.383119,
Maryland Federal Bank,3505 Hamilton Street,WEST HYATTSVILLE,MD,20782,38.954838,-76.959998,
Valley View State Bank,7500 West Ninety-Fifth Street,OVERLAND PARK,KS,66212,38.955769,-94.672427,http://www.valleyviewbank.com
Western National Bank,9500 Lackman Road,LENEXA,KS,66219,38.956283,-94.760896,http://www.wnbexpressbank.com
Union Bank,9300 Blue Ridge Boulevard Extension,RAYTOWN,MO,64138,38.956318,-94.505241,http://www.unionbankmo.com
Hillcrest Bank,11111 West 95th Street,LENEXA,KS,66214,38.956471,-94.717376,http://www.hillcrestbank.com
Hillcrest Bank,11111 West 95th Street,OVERLAND PARK,KS,66204,38.956471,-94.717376,
Bank IV Lenexa  National Association,12345 West 95th Street,LENEXA,KS,66215,38.956496,-94.730579,
De Soto State Bank,Second Street,DE SOTO,KS,66018,38.95656204,-94.96471405,
National Bank of Kansas City,3510 West 95th Street,LEAWOOD,KS,66206,38.956832,-94.625431,http://www.bankofkc.com
Horizon National Bank,3510 West 95th Street,LEAWOOD,KS,66206,38.956832,-94.625431,
Pioneer Savings and Loan Association,5400 West 95th Street,PRAIRIE VILLAGE,KS,66208,38.956847,-94.647709,
Pioneer Federal Savings and Loan Association,5400 West 95th Street,PRAIRIE VILLAGE,KS,66208,38.956847,-94.647709,
Utah Independent Bank,55 South State Street,SALINA,UT,84654,38.957046,-111.85996,http://www.uibankonline.com
Shelter Financial Bank,1905 West Ash,COLUMBIA,MO,65203,38.957141,-92.367371,
First State Bank,3 East Main Street,SALINA,UT,84654,38.957507,-111.859781,
Jackson County Bank,125 South Chestnut Street,SEYMOUR,IN,47274,38.957938,-85.889958,http://www.jcbank.com
Home Federal Savings Bank,5225 Wisconsin Avenue Nw,WASHINGTON,DC,20015,38.958126,-77.084373,
Overland Park Federal Savings and Loan Associa,9400 Antioch,OVERLAND PARK,KS,66212,38.958222,-94.686291,
Overland Park Savings and Loan Association,9400 Antioch,OVERLAND PARK,KS,66212,38.958222,-94.686291,
The University National Bank of Lawrence,1400 Kasold Drive,LAWRENCE,KS,66044,38.958332,-95.278979,http://www.unbank.com
University National Bank of Lawrence,1400 Kasold Drive,LAWRENCE,KS,66044,38.958332,-95.278979,
Seymour National Bank,121 North Chestnut Street,SEYMOUR,IN,47274,38.95856,-85.890188,
Country Club Bank  National Association,9400 Mission Road,LEAWOOD,KS,66206,38.958978,-94.630375,http://www.countryclubbank.com
Fidelity Federal Savings and Loan Association of S,222 W Second Street,SEYMOUR,IN,47274,38.959113,-85.890795,
Seymour National Bank,Second And Chestnut Streets,SEYMOUR,IN,47274,38.95921,-85.89041,
Metropolis Federal Savings and Loan Association,5335 Wisconsin Ave N.W.,WASHINGTON,DC,20015,38.959693,-77.085169,
Peoples Mercantile Bank,9249 Ward Parkway,KANSAS CITY,MO,64114,38.960614,-94.600111,
First National Bank,432 West Gallatin Street,VANDALIA,IL,62471,38.960706,-89.095222,
The First National Bank,432 West Gallatin Street,VANDALIA,IL,62471,38.960713,-89.095153,http://www.thefnb.com
Century National Bank,5454 Wisconsin Avenue,WASHINGTON,MD,20015,38.960797,-77.085734,
Suburbia Federal Savings and Loan Association,5416 Wisconsin Ave,WASHINGTON,MD,20015,38.961833,-77.086258,
First Bank of Fayette County,Main Street,VANDALIA,IL,62471,38.96196,-89.10939,
Potomac Savings and Loan Association of Reston,1760 Reston Avenue Suite 212,LAKE ANNE,VA,22090,38.962371,-77.354304,
United Missouri Bank South,9201 Ward Parkway,KANSAS CITY,MO,64114,38.962989,-94.603209,
First National Bank of Clermont County,200 West Plane Street,BETHEL,OH,45106,38.963479,-84.079813,
Bethel Building and Loan Company,503 West Plane Street,BETHEL,OH,45106,38.96375,-84.083941,
The Bethel Building and Loan Company,503 West Plane Street,BETHEL,OH,45106,38.96375,-84.083941,http://www.bethelbldgandloan.com
Commerce Bank of Columbia  National Association,500 Business Loop 70 West,COLUMBIA,MO,65201,38.964347,-92.331592,
Commerce Bank  National Association,500 Business Loop 70 West,COLUMBIA,MO,65201,38.964347,-92.331592,
Commerce Bank,955 Iowa Street,LAWRENCE,KS,66044,38.96440125,-95.24179077,
First Community Bank-FCB,300 South Miller Street,SWEET SPRINGS,MO,65351,38.96508,-93.417735,
Maximum Savings Bank  FSB,5530 Wisconsin Avenue,CHEVY CHASE,MD,20815,38.965378,-77.088036,
Chevy Chase Bank and Trust Company,8510 Connecticut Avenue,WASHINGTON,MD,20015,38.9672,-77.077146,
Lawrence Federal Savings,901 Vermont Street,LAWRENCE,KS,66044,38.967415,-95.237155,
Douglas County Bank,300 West 9th Street,LAWRENCE,KS,66044,38.967526,-95.238456,http://www.douglascountybank.com
F & M Bank-Potomac,230 Herndon Parkway,HERNDON,VA,22070,38.968305,-77.370775,
The Middleburg Bank,111 West Washington Street,MIDDLEBURG,VA,22117,38.968449,-77.736911,http://www.middleburgbank.com
Central Fidelity Bank NA,501 Elden Street,HERNDON,VA,22070,38.968568,-77.378721,
Union Planters Bank of Mid-Missouri,2114 Paris Road,COLUMBIA,MO,65202,38.969639,-92.305933,
Herndon Federal Savings and Loan Association,698 Elden St,HERNDON,VA,22070,38.969726,-77.383872,
The Friendship State Bank,Main Street,FRIENDSHIP,IN,47021,38.96998,-85.149161,http://www.friendshipstatebank.com
Friendship State Bank,Main Street,FRIENDSHIP,IN,47021,38.96998,-85.149161,
Community Bank,446 North Marshall,CHAPMAN,KS,67431,38.970737,-97.019742,
Premier Bank,87th And Lackman Road,LENEXA,KS,66219,38.97101,-94.76107, 
Premier Bank,87th And Lackman Road,LENEXA,KS,66215,38.97113,-94.7609,
Mercantile Bank,9900 West 87th Street,OVERLAND PARK,KS,66212,38.971212,-94.700897,
Kansas American Bank,9900 Santa Fe Drive,OVERLAND PARK,KS,66204,38.971212,-94.700897,
Firstar Bank   National Association,9900 West 87th Street,OVERLAND PARK,KS,66212,38.971212,-94.700897,
Peoples Bank,4831 West 6th Street,LAWRENCE,KS,66044,38.97154,-95.305636,http://www.bankingunusual.com
Lawrence National Bank and Trust Co.,647 Massachusetts Street,LAWRENCE,KS,66044,38.972148,-95.235997,
Metropolitan Bank,8550 Holmes,KANSAS CITY,MO,64131,38.97299,-94.581201,
Charter Bank Ward Parkway  N.A.,8520 Ward Parkway,KANSAS CITY,MO,64114,38.973529,-94.606479,
Caroline County Bank,Sunset And Main,GREENSBORO,MD,21639,38.97376,-75.80542,
Bay National Bank,2661 Riva Road  Suite 311,CAPE SAINT CLAIR,MD,21401,38.974072,-76.56073,
Boonslick Savings and Loan Association,400 East Spring Street,BOONVILLE,MO,65233,38.975216,-92.74525,
Boonslick Federal Savings and Loan Association,400 East Spring Street,BOONVILLE,MO,65233,38.975216,-92.74525,
Boonslick Bank,400 East Spring Street,BOONVILLE,MO,65233,38.975216,-92.74525,
Mid Missouri Savings and Loan Association,416 E Spring St,BOONVILLE,MO,65233,38.975247,-92.745069,
Mid Missouri Savings and Loan Association  FA,416 E Spring Street,BOONVILLE,MO,65233,38.975247,-92.745069,
Boatmen's National Bank of Boonville,412 Main Street,BOONVILLE,MO,65233,38.975288,-92.743778,
UMB Bank  Boonville,401 Main Street,BOONVILLE,MO,65233,38.975367,-92.743804,
Vandalia Citizens Savings and Loan Association,520 Gochenour Street,VANDALIA,IL,62471,38.976365,-89.097109,
First Bank of Montgomery County,105 North Sturgeon,MONTGOMERY CITY,MO,63361,38.976731,-91.50435,
Vinton Banking Company,Main Street,VINTON,OH,45686,38.97738,-82.33967,
Annapolis Federal Savings Bank,140 Main Street,CAPE SAINT CLAIR,MD,21401,38.977533,-76.48908,
Eastern American Bank  FSB,208 Elden Street,HERNDON,VA,22070,38.97783279,-77.38657379,
Great American Bank,33050 West 83rd Street,DE SOTO,KS,66018,38.978128,-94.968507,http://www.greatambank.com
Capital City Federal Savings and Loan Association,26 West St,CAPE SAINT CLAIR,MD,21401,38.978308,-76.494297,
Tidewater Bank,Main Street,STEVENSVILLE,MD,21666,38.97844,-76.28768,
Kansas National Bank and Trust Company,83rd And Somerset Drive,PRAIRIE VILLAGE,KS,66208,38.9787,-94.6343,
Farmers' Stock Bank,Main Street,BLACKWATER,MO,65322,38.97925,-92.99247,
CommerceFirst Bank,1804 West Street,CAPE SAINT CLAIR,MD,21401,38.979937,-76.522373,http://www.commerce1st.com
Severn Savings Bank  FSB,1917 West St,CAPE SAINT CLAIR,MD,21401,38.980206,-76.525065,http://www.severnbank.com
Peoples Bank & Trust Co.,430 East Wood Street,TROY,MO,63379,38.980306,-90.977749,http://www.pbtc.net
Citizens Bank of Troy,460 Wood Street,TROY,MO,63379,38.980306,-90.977749,
Bank of Maryland - Montgomery County,7126 Wisconsin Avenue,BETHESDA,MD,20814,38.980624,-77.092486,
Peoples Bank & Trust Co.,Cherry And Wood Streets,TROY,MO,63379,38.980831,-90.97722,
Colonial Savings  A FA,4000 Somerset Drive,PRAIRIE VILLAGE,KS,66208,38.981097,-94.63048,
Intrust Bank  Johnson County  National Association,4000 Somerset Drive,PRAIRIE VILLAGE,KS,66208,38.981097,-94.63048,
Colonial Federal Savings Association,4000 Somerset Drive,PRAIRIE VILLAGE,KS,66208,38.981097,-94.63048,
F&M Bank - Maryland  Inc.,4719 Hampden Lane,BETHESDA,MD,20814,38.982953,-77.093962,
First Federal Savings Bank of Annapolis,2024 West Street,CAPE SAINT CLAIR,MD,21401,38.983008,-76.535306,
First Annapolis Savings Bank  FSB,2024 West St,CAPE SAINT CLAIR,MD,21401,38.983298,-76.5363,
Colonial Bank and Trust Company,2083 West Street,CAPE SAINT CLAIR,MD,21401,38.983825,-76.539753,
Concordia Bank of Concordia  Missouri,547 Main Street,CONCORDIA,MO,64020,38.983993,-93.568154,http://www.concordia-bank.com
First Community Bank - Upshur National,Pallmansville Road & State Routes 4 And 20,TENNERTON,WV,26201,38.98406982,-80.21782684,
Monument Bank,7475 Wisconsin Avenue,BETHESDA,MD,20814,38.98466,-77.094143,http://www.monumentbank.com
Crestar Bank MD,7500 Wisconsin Avenue,BETHESDA,MD,20814,38.984938,-77.094354,
Presidential Bank  FSB,4520 East-West Highway,BETHESDA,MD,20814,38.985,-77.091451,http://www.presidential.com
Metcalf Bank,79th And Metcalf Streets,OVERLAND PARK,KS,66204,38.98585,-94.66763,http://www.metcalfbank.com
George Mason Bank  National Association,7626 Old Georgetown Road,BETHESDA,MD,20814,38.986048,-77.096337,
Boatmen's Bank of South Raytown,10100 East Highway 350,RAYTOWN,MO,64138,38.986902,-94.462806,
Boatmen's Bank of Troy,One Front Street,TROY,MO,63379,38.986988,-90.976729,
FBR National Bank & Trust,4922 Fairmont Avenue,BETHESDA,MD,20814,38.988139,-77.096945,
Midlantic National Bank/Union Trust,Schellenger And Pacific Avenues,NORTH WILDWOOD,NJ,8260,38.98908,-74.81442,
Gibraltar Federal Savings Bank  FSB,107 Ridgely Avenue,CAPE SAINT CLAIR,MD,21401,38.989319,-76.503133,
First Bank,112 West King Street,STRASBURG,VA,22657,38.989336,-78.362054,http://www.firstbank-va.com
Sequoia National Bank  MD,4912 Del Rey Avenue,BETHESDA,MD,20814,38.989614,-77.099045,
Metropolitan Federal Savings and Loan Association,7901 Wisconsin Avenue,BETHESDA,MD,20814,38.989656,-77.095293,
Jasper County Savings and Loan Association,207 West Washington Street,NEWTON,IL,62448,38.989864,-88.162749,
First National Bank in Newton,204 West Washington Street,NEWTON,IL,62448,38.989864,-88.162727,
Peoples State Bank of Newton  Illinois,104 West Washington Street,NEWTON,IL,62448,38.989879,-88.16124,
The Peoples State Bank of Newton  Illinois,104 West Washington Street,NEWTON,IL,62448,38.989886,-88.161336, 
The Queenstown Bank of Maryland,Main Street,QUEENSTOWN,MD,21658,38.98996,-76.15819,http://www.queenstown-bank.com
Queenstown Bank of Maryland,Main Street,QUEENSTOWN,MD,21658,38.98996,-76.15819,
Fidelity & Trust Bank,4831 Cordell Avenue,BETHESDA,MD,20814,38.990331,-77.097184,http://www.fidelityandtrust.com
Marine National Bank,3301 Pacific Avenue,NORTH WILDWOOD,NJ,8260,38.990333,-74.812875,
Crest Savings Bank,3301 Pacific Avenue,NORTH WILDWOOD,NJ,8260,38.990333,-74.812875,http://www.crestsavings.com
State Bank of Missouri,101 N.W. 2nd Street,CONCORDIA,MO,64020,38.99034,-93.569118,http://www.gostatebank.com
Southgate Bank,7624 State Line,PRAIRIE VILLAGE,KS,66208,38.990879,-94.607989,
Suburban Federal Savings Bank,2120 Baldwin Avenue,CROFTON,MD,21114,38.991223,-76.695151,http://www.suburbanfsb.com
BankAnnapolis,1000 Bestgate Road,CAPE SAINT CLAIR,MD,21401,38.991358,-76.549025,http://www.bankannapolis.com
The Bank of Old Monroe,Main Street,OLD MONROE,MO,63369,38.99148,-90.7381,http://www.bankofoldmonroe.com
Bank of Old Monroe,Main Street,OLD MONROE,MO,63369,38.99148,-90.7381,
Mountain National Bank,361 West Highway 24,WOODLAND PARK,CO,80863,38.991686,-105.049021,
First National Bank of Sardinia,Main Street,SARDINIA,OH,45171,38.99172,-83.71487,
Heritage Federal Savings and Loan Association of K,7442 Wornall Road,KANSAS CITY,MO,64114,38.992437,-94.59433,
Citizens Bank & Trust,75th Street And Quivira Road,SHAWNEE,KS,66203,38.99278,-94.72365,
The Grant County Bank,3 North Main Street,DORCAS,WV,26847,38.993094,-79.124206,http://www.grantcountybank.com
Grant County Bank,3 North Main Street,DORCAS,WV,26847,38.993094,-79.124206,
Progressive Bank  National Association-Buckhannon,West Main And Locust Streets,TENNERTON,WV,26201,38.99372,-80.23192,
Bank One  West Virginia  Buckhannon  National Asso,32 East Main Street,TENNERTON,WV,26201,38.993964,-80.230347,
American Bank of Raytown,9063 East Gregory Boulevard,RAYTOWN,MO,64133,38.994854,-94.475622,
Middleburg Bank,111 West Washington Street,MIDDLEBURG,VA,22117,38.99643707,-77.73551178,
The First National Bank of Brownstown,108 East Main Street,BROWNSTOWN,IL,62418,38.99681,-88.953271, 
Rocky Mountain Savings  A FSB,701 Gold Hill Square South,WOODLAND PARK,CO,80863,38.99692917,-105.0622864,
Sequoia Bank,2 Bethesda Metro Center  Suite 1500,BETHESDA,MD,20814,38.996943,-77.09369,
First National Bank of Brownstown,Main Street,BROWNSTOWN,IL,62418,38.99717,-88.95209,
Guardian Federal Savings and Loan Association,8677 Georgia Avenue,SILVER SPRING,MD,20910,38.99727,-77.029506,
Madison Bank of Maryland,8677 Georgia Avenue,SILVER SPRING,MD,20910,38.997333,-77.029443,
First American Bank of Maryland,8701 Georgia Avenue,WHEATON,MD,20902,38.997652,-77.029789,
Home National Bank,Third Street,RACINE,OH,45771,38.99776,-81.95647,http://www.homenatlbank.com
Commercial Bank of Oak Grove  Mo.,1114 Broadway,OAK GROVE,MO,64075,38.99845505,-94.13994598, 
Citizens National Bank of Middleport,Second And Race Streets,MIDDLEPORT,OH,45760,38.99931335,-82.06001282,
Bank of Annapolis,1900 Fairfax Drive  Unit #7,CAPE SAINT CLAIR,MD,21401,38.99964523,-76.50313568,
Florence Building and Loan Association Incorporate,267 Main St,FLORENCE,KY,41042,38.999944,-84.627012,
EagleBank,7815 Woodmont Avenue,BETHESDA,MD,20814,39.00034332,-77.10216522,http://www.eaglebankmd.com
Florence Deposit Bank,7000 Dixie Highway,FLORENCE,KY,41042,39.001166,-84.623951,
First National Bank of Oblong,203 West Main Street,OBLONG,IL,62449,39.001809,-87.910024,
Peoples Building and Loan Association of Oblong,101 West Main St,OBLONG,IL,62449,39.001834,-87.908794,
United Savings and Loan Association,107 South Main St,PALESTINE,IL,62451,39.002698,-87.612789,
Farmer's State Bank of Palestine,101 North Main Street,PALESTINE,IL,62451,39.002954,-87.612778,
Mercantile Bank of Kansas  National Association,6940 Mission Road,PRAIRIE VILLAGE,KS,66208,39.003309,-94.630395,
Bank of Independence,Main Street,INDEPENDENCE,KY,41051,39.00401,-84.6215,
Fifth Third Bank of Boone County  Inc.,8100 Burlington Pike,FLORENCE,KY,41042,39.004748,-84.654295,
Ambank Illinois  National Association,300 West Main Street,ROBINSON,IL,62454,39.00579,-87.742832,
First Crawford State Bank,108 West Main,ROBINSON,IL,62454,39.00581,-87.741144,
First Robinson Savings Bank  National Association,501 East Main Street,ROBINSON,IL,62454,39.005883,-87.734506,http://www.frsb.net
Bank of Odessa,301 West Highway 40,ODESSA,MO,64076,39.006399,-93.955637, 
Bank of Tescott,Main Street,CULVER,KS,67484,39.00678,-97.87573,
The Bank of Tescott,Main Street,CULVER,KS,67484,39.00678,-97.87573, 
The Morrill and Janes Bank and Trust Company,6740 Antioch Road,SHAWNEE,KS,66203,39.007104,-94.686462,http://www.mjbtrc.com
Jackson County State Bank,2600 East Myer Boulevard,KANSAS CITY,MO,64132,39.007455,-94.556288,
Felton Bank,Main Street,FELTON,DE,19943,39.00783,-75.5734,
The Felton Bank,120 Main Street,FELTON,DE,19943,39.00783,-75.5734,http://www.feltonbank.com
Bank of Kentucky  Inc.,1065 Burlington Pike,FLORENCE,KY,41042,39.007887,-84.662564,
State Savings and Loan Association,3258 Topeka Avenue,TOPEKA,KS,66611,39.007985,-95.687583,
Union Bank and Trust Company,5th Street,NORTH VERNON,IN,47265,39.00803,-85.62359,
Huntington National Bank of Boone County,7170 Turfway Road,FLORENCE,KY,41042,39.008185,-84.623424,
Boatmen's Raytown Bank,10017 East 63rd Street,RAYTOWN,MO,64133,39.008781,-94.462747,
Park State Bank & Trust,Main Street,WOODLAND PARK,CO,80863,39.0088,-105.05153,http://www.psbtrust.com
Raytown Federal Savings and Loan Association,6252 Raytown Road,RAYTOWN,MO,64133,39.009622,-94.463389,
Thunder Bank,102 North Main Street,SYLVAN GROVE,KS,67481,39.011109,-98.393196,http://www.thunderbank.com
First Security Trust Bank  Inc.,7135 Houston Road,FLORENCE,KY,41042,39.0116,-84.645132,http://www.fstb.com
First Security Trust Bank  FSB,7135 Houston Road,FLORENCE,KY,41042,39.0116,-84.645132,
The First National Bank in Staunton,115 South Elm Street,STAUNTON,IL,62088,39.011925,-89.787781, 
First National Bank in Staunton,115 South Elm Street,STAUNTON,IL,62088,39.011925,-89.787781,
Staunton Home Association,111 West Main Street,STAUNTON,IL,62088,39.012122,-89.787334,
Alliance Bank,3001 Southwest Wanamaker Road,TOPEKA,KS,66614,39.012184,-95.762367,http://www.alliancebankkansas.com
Heritage Bank,3024 Southwest Wanamaker Road,TOPEKA,KS,66614,39.012605,-95.757796,http://www.heritagebankonline.com
Commerce Bank and Trust,3035 South Topeka Avenue,TOPEKA,KS,66611,39.012789,-95.687685,http://www.cbtks.com
First National Bank in Alma,304 Missouri,ALMA,KS,66401,39.012882,-96.28947,
Bank of Jacomo,909 South 7 Highway,LAKE TAPAWINGO,MO,64015,39.013023,-94.275877,
First Community State Bank,417 West North Street,STAUNTON,IL,62088,39.013072,-89.79152,http://www.firstcommbankstaunton.com
Douglass National Bank,1670 East 63rd Street,KANSAS CITY,MO,64110,39.013086,-94.568427,http://www.douglassbk.com
Cross Plains State Bank,Main Street,CROSS PLAINS,IN,47017,39.01311,-85.35846,
Commerce Bank Corporation,9658 Baltimore Avenue,COLLEGE PARK,MD,20740,39.013459,-76.92792,
University Bank,115 West 63rd Street,KANSAS CITY,MO,64113,39.013793,-94.587139,
Brookside Savings Bank  FSB,22 W 63rd Street,KANSAS CITY,MO,64113,39.01397,-94.588737,
Mark Twain Kansas Bank,6333 Long,SHAWNEE,KS,66203,39.014163,-94.730831,
Community National Bank,5431 Southwest 29th Street,TOPEKA,KS,66614,39.014317,-95.747887,http://www.cnbtopeka.com
Beverly State Bank,Main Street,BEVERLY,KS,67423,39.01483,-97.97485,
Bank of Grain Valley,500 Main Street,GRAIN VALLEY,MO,64029,39.015153,-94.19821,
UMB Highland Park Bank and Trust,2100 Southeast 29th Street,TOPEKA,KS,66605,39.015226,-95.648679,
The Bank of Grain Valley,500 Main Street,GRAIN VALLEY,MO,64029,39.015254,-94.198415, 
Commerce Bank of Blue Hills,6100 Troost Avenue,KANSAS CITY,MO,64110,39.016564,-94.574397,
American Federal Savings and Loan Association of E,3522 Dixie Highway,ERLANGER,KY,41018,39.016579,-84.600849,
Potomac National Bank,10113 River Road,POTOMAC,MD,20854,39.017444,-77.207937,
Dillsboro State Bank,North Street,DILLSBORO,IN,47018,39.01786,-85.05783,
America's Community Bank,1100 West Main Street,LAKE TAPAWINGO,MO,64015,39.01842,-94.278044,http://www.amcommbank.com
Blue Springs Bank,1100 Main Street,LAKE TAPAWINGO,MO,64015,39.01842,-94.278044,
Central National Bank of Maryland,1700 Elton Road,SILVER SPRING,MD,20903,39.0197,-76.973801,
Commerce Savings  A Federal Savings and Loan Assoc,5931 Nieman Rd,SHAWNEE,KS,66203,39.020948,-94.714556,
Amelia State Bank,Main Street,AMELIA,OH,45102,39.02113724,-84.21117401,
Free State Bank and Trust Company,10000 Falls Road,POTOMAC,MD,20854,39.021197,-77.207781,
Commonwealth Bank and Trust Company of Virginia,Route 7 Herndon Junction,STERLING,VA,22170,39.02146912,-77.39862061,
National Bank of Northern Virginia,11 Pidgeon Hill Drive,STERLING,VA,22170,39.02146912,-77.39862061,
Heritage Bank  Inc.,456 Commonwealth Avenue,ERLANGER,KY,41018,39.021988,-84.60635,http://www.heritagebank-ky.com
Rosedale Federal Savings and Loan Association of C,3044 Dixie Highway,ERLANGER,KY,41018,39.022105,-84.586337,
Shawnee State Bank,11101 Johnson Drive,SHAWNEE,KS,66203,39.022971,-94.714691,
Mission State Bank & Trust Company,5201 Johnson Drive,MISSION,KS,66205,39.023629,-94.64491,
The Mission Bank,5201 Johnson Drive,MISSION,KS,66205,39.023629,-94.64491,http://www.themissionbank.com
Mission Bank,5201 Johnson Drive,MISSION,KS,66205,39.023629,-94.64491,
